CREATE TABLE USERS (username varchar(255) PRIMARY KEY,password varchar(255),homeroom int,userlevel int,desc varchar(255),magicpoints int,staminapoints int,experiencepoints int,gender varchar(255),race varchar(255),class varchar(255),flags int);
INSERT INTO USERS VALUES ("test","teH0wLIpW0gyQ",1,1, "Test User",0,1000, 0,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("system","sy.AqC0U7RJpw",1,12,"System administrator",99999,99999,99999,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("baduser","baQdv.vyYwMNs",1,1, "Evil User",0,1000, 0,"male","Human","Warrior",0);

CREATE TABLE INVENTORY (name varchar(255) primary key,description varchar(255),attributes int,owner varchar(255));
INSERT INTO INVENTORY VALUES ("sword","A rusty sword",0,"test");
INSERT INTO INVENTORY VALUES ("torch","A unlit torch",0,"test");
INSERT INTO INVENTORY VALUES ("goldbar","A bar of gold",0,"test");
INSERT INTO INVENTORY VALUES ("goblet","A goblet",0,"system");
INSERT INTO INVENTORY VALUES ("matches","A box of matches",0,"system");
INSERT INTO INVENTORY VALUES ("goldcoin","A gold coin",0,"system");

CREATE TABLE RACES (name varchar(255) PRIMARY KEY,magic int,strength int,agility int,dexterity int,luck int,wisdom int,intelligence int,stamina int);
INSERT INTO RACES VALUES ("Human",12,12,12,6,0,8,10,100);
INSERT INTO RACES VALUES ("Dwarf",10,11,8,10,0,6,12,200);
INSERT INTO RACES VALUES ("Elf",12,15,14,12,12,18,6,300);
INSERT INTO RACES VALUES ("Halfling",8,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Sprite",6,10,15,10,10,12,5,20);
INSERT INTO RACES VALUES ("Orc",2,2,1,5,0,2,20,300);
INSERT INTO RACES VALUES ("Centaur",14,14,7,10,12,12,10,100);
INSERT INTO RACES VALUES ("WolfMan",10,7,9,7,0,8,11,110);
INSERT INTO RACES VALUES ("Dwarf",10,8,12,6,0,8,10,50);
INSERT INTO RACES VALUES ("Halfling",6,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Gnome",12,11,10,7,0,7,7,40);
INSERT INTO RACES VALUES ("Half-Giant",8,4,2,5,0,2,14,250);

CREATE TABLE CLASSES (name varchar(255) PRIMARY KEY);
INSERT INTO CLASSES VALUES ("Warrior");
INSERT INTO CLASSES VALUES ("Thief");
INSERT INTO CLASSES VALUES ("Mage");
INSERT INTO CLASSES VALUES ("Cleric");
INSERT INTO CLASSES VALUES ("Ranger");
INSERT INTO CLASSES VALUES ("Paladin");
INSERT INTO CLASSES VALUES ("Psionic");
INSERT INTO CLASSES VALUES ("Barbarian");
INSERT INTO CLASSES VALUES ("Hero");

CREATE TABLE BANS (ipaddress varchar(255) PRIMARY KEY,reason varchar(255));
INSERT INTO BANS VALUES("6.6.6.6","Test ban");

CREATE TABLE GENERATABLEOBJECTS (name varchar(255) PRIMARY KEY,description varchar(255),attackpoints int,generateprob int,staminapoints int,magicpoints int,attributes int,verb varchar(255),verbmessage varchar(255));
INSERT INTO GENERATABLEOBJECTS VALUES("bottle","A bottle of potion,drink labelled 'drink me'",100,20,100,0,0,"drink","You drink the potion and suddenly shrink");
INSERT INTO GENERATABLEOBJECTS VALUES("apple","An apple",0,50,300,0,0,"eat","You eat the apple and suddenly realize you are naked");
INSERT INTO GENERATABLEOBJECTS VALUES("pie","A pie",10,0,100,2,0,"eat","You eat the pie and belch");
INSERT INTO GENERATABLEOBJECTS VALUES("grapes","A bunch of grapes",10,0,100,2,0,"eat","You eat the grapes and hiccup");
INSERT INTO GENERATABLEOBJECTS VALUES("almonds","A bag of almonds",10,0,100,2,0,"eat","You eat the almonds and puke");
INSERT INTO GENERATABLEOBJECTS VALUES("jug","A jug of water",10,0,100,2,"drink",0,"You drink the jug of water and feel refreshed");

CREATE TABLE SPELLS (name varchar(255) PRIMARY KEY,spellpoints int,damage int,message varchar(255),level int,class varchar(255));
INSERT INTO SPELLS VALUES("cure blindness",5,7,"casts a ure blindness spell",0,"paladin");
INSERT INTO SPELLS VALUES("soul rip",5,7,"casts a oul rip spell",0,"paladin");
INSERT INTO SPELLS VALUES("mobshield",6,8,"casts a obshield spell",0,"paladin");
INSERT INTO SPELLS VALUES("call_warhorse",6,8,"casts a all_warhorse spell",0,"paladin");
INSERT INTO SPELLS VALUES("call upon faith",7,10,"casts a all upon faith spell",1,"paladin");
INSERT INTO SPELLS VALUES("sense anger",8,10,"casts a ense anger spell",1,"paladin");
INSERT INTO SPELLS VALUES("hand to hand",8,11,"casts a and to hand spell",1,"paladin");
INSERT INTO SPELLS VALUES("divine faith",8,11,"casts a ivine faith spell",1,"paladin");
INSERT INTO SPELLS VALUES("dual wield",8,11,"casts a ual wield spell",1,"paladin");
INSERT INTO SPELLS VALUES("condemn",8,11,"casts a ondemn spell",1,"paladin");
INSERT INTO SPELLS VALUES("cure poison",9,12,"casts a ure poison spell",1,"paladin");
INSERT INTO SPELLS VALUES("staves",9,13,"casts a taves spell",1,"paladin");
INSERT INTO SPELLS VALUES("third attack",10,13,"casts a hird attack spell",1,"paladin");
INSERT INTO SPELLS VALUES("disarm",10,13,"casts a isarm spell",1,"paladin");
INSERT INTO SPELLS VALUES("fire",10,14,"casts a ire spell",1,"paladin");
INSERT INTO SPELLS VALUES("infernal voice",11,15,"casts a nfernal voice spell",1,"paladin");
INSERT INTO SPELLS VALUES("cleansing",11,15,"casts a leansing spell",1,"paladin");
INSERT INTO SPELLS VALUES("calm",12,16,"casts a alm spell",1,"paladin");
INSERT INTO SPELLS VALUES("warcry",12,17,"casts a arcry spell",1,"paladin");
INSERT INTO SPELLS VALUES("cure critical",13,17,"casts a ure critical spell",1,"paladin");
INSERT INTO SPELLS VALUES("sanctuary",13,18,"casts a anctuary spell",2,"paladin");
INSERT INTO SPELLS VALUES("create holy symbol",14,19,"casts a reate holy symbol spell",2,"paladin");
INSERT INTO SPELLS VALUES("dispel evil",14,19,"casts a ispel evil spell",2,"paladin");
INSERT INTO SPELLS VALUES("scourge",15,20,"casts a courge spell",2,"paladin");
INSERT INTO SPELLS VALUES("dispel magic",16,21,"casts a ispel magic spell",2,"paladin");
INSERT INTO SPELLS VALUES("cancellation",16,21,"casts a ancellation spell",2,"paladin");
INSERT INTO SPELLS VALUES("awareness",16,22,"casts a wareness spell",2,"paladin");
INSERT INTO SPELLS VALUES("terminate",17,22,"casts a erminate spell",2,"paladin");
INSERT INTO SPELLS VALUES("spiritual armor",17,22,"casts a piritual armor spell",2,"paladin");
INSERT INTO SPELLS VALUES("champions strength",17,23,"casts a hampions strength spell",2,"paladin");
INSERT INTO SPELLS VALUES("hand of justice",18,24,"casts a and of justice spell",2,"paladin");
INSERT INTO SPELLS VALUES("charge",18,24,"casts a harge spell",2,"paladin");
INSERT INTO SPELLS VALUES("true seeing",18,25,"casts a rue seeing spell",2,"paladin");
INSERT INTO SPELLS VALUES("pillar of fire",19,26,"casts a illar of fire spell",2,"paladin");
INSERT INTO SPELLS VALUES("holy aura",20,26,"casts a oly aura spell",2,"paladin");
INSERT INTO SPELLS VALUES("spunch",21,28,"casts a punch spell",3,"paladin");
INSERT INTO SPELLS VALUES("purify",21,29,"casts a urify spell",3,"paladin");
INSERT INTO SPELLS VALUES("holy arrow",22,29,"casts a oly arrow spell",3,"paladin");
INSERT INTO SPELLS VALUES("sword of righteousness",23,30,"casts a word of righteousness spell",3,"paladin");
INSERT INTO SPELLS VALUES("wrath of god",24,32,"casts a rath of god spell",3,"paladin");
INSERT INTO SPELLS VALUES("grey aura",25,34,"casts a grey aura spell",3,"paladin");
INSERT INTO SPELLS VALUES("repentance",26,35,"casts a repentance spell",3,"paladin");
INSERT INTO SPELLS VALUES("willpower",26,35,"casts a willpower spell",3,"paladin");
INSERT INTO SPELLS VALUES("illuminate",27,37,"casts a illuminate spell",4,"paladin");
INSERT INTO SPELLS VALUES("locate corpse",28,38,"casts a locate corpse spell",4,"paladin");
INSERT INTO SPELLS VALUES("retreat",29,39,"casts a retreat spell",4,"paladin");
INSERT INTO SPELLS VALUES("spirit strike",29,39,"casts a spirit strike spell",4,"paladin");
INSERT INTO SPELLS VALUES("aim",30,40,"casts a aim spell",4,"paladin");
INSERT INTO SPELLS VALUES("energy shield",31,41,"casts a energy shield spell",4,"paladin");
INSERT INTO SPELLS VALUES("second attack dual",32,43,"casts a second attack dual spell",4,"paladin");
INSERT INTO SPELLS VALUES("shockproof",33,44,"casts a shockproof spell",4,"paladin");
INSERT INTO SPELLS VALUES("panic",34,45,"casts a panic spell",5,"paladin");
INSERT INTO SPELLS VALUES("damnation",34,45,"casts a damnation spell",5,"paladin");
INSERT INTO SPELLS VALUES("camp",35,47,"casts a camp spell",5,"paladin");
INSERT INTO SPELLS VALUES("holy mirror",36,48,"casts a holy mirror spell",5,"paladin");
INSERT INTO SPELLS VALUES("winds of reckoning",37,49,"casts a winds of reckoning spell",5,"paladin");
INSERT INTO SPELLS VALUES("survey",37,49,"casts a survey spell",5,"paladin");
INSERT INTO SPELLS VALUES("holy word",37,50,"casts a holy word spell",5,"paladin");
INSERT INTO SPELLS VALUES("miracle",38,51,"casts a miracle spell",5,"paladin");
INSERT INTO SPELLS VALUES("counter strike",39,52,"casts a counter strike spell",5,"paladin");
INSERT INTO SPELLS VALUES("abomination",39,52,"casts a abomination spell",5,"paladin");
INSERT INTO SPELLS VALUES("third attack dual",41,55,"casts a third attack dual spell",6,"paladin");
INSERT INTO SPELLS VALUES("purgatory",41,55,"casts a purgatory spell",6,"paladin");
INSERT INTO SPELLS VALUES("blades of light",43,58,"casts a blades of light spell",6,"paladin");
INSERT INTO SPELLS VALUES("apocalypse",45,60,"casts a apocalypse spell",6,"paladin");
INSERT INTO SPELLS VALUES("heavenly balance",47,63,"casts a heavenly balance spell",7,"paladin");
INSERT INTO SPELLS VALUES("gate",50,67,"casts a gate spell",7,"paladin");
INSERT INTO SPELLS VALUES("locate object",50,67,"casts a locate object spell",7,"paladin");
INSERT INTO SPELLS VALUES("summon",50,67,"casts a summon spell",7,"paladin");
INSERT INTO SPELLS VALUES("locate animal",50,67,"casts a locate animal spell",7,"paladin");
INSERT INTO SPELLS VALUES("hunt",50,67,"casts a hunt spell",7,"paladin");
INSERT INTO SPELLS VALUES("scrolls",50,67,"casts a scrolls spell",7,"paladin");
INSERT INTO SPELLS VALUES("wands",50,67,"casts a wands spell",7,"paladin");
INSERT INTO SPELLS VALUES("ballistic attack",1,0,"0",casts a allistic attack spell,"0");
INSERT INTO SPELLS VALUES("time shift",1,0,"0",casts a me shift spell,"0");
INSERT INTO SPELLS VALUES("whip",1,0,"0",casts a ip spell,"0");
INSERT INTO SPELLS VALUES("recall",1,0,"0",casts a call spell,"0");
INSERT INTO SPELLS VALUES("exotic",1,0,"0",casts a otic spell,"0");
INSERT INTO SPELLS VALUES("mental barrier",3,0,"1",casts a ntal barrier spell,"0");
INSERT INTO SPELLS VALUES("staves",3,0,"1",casts a aves spell,"0");
INSERT INTO SPELLS VALUES("wands",3,0,"1",casts a nds spell,"0");
INSERT INTO SPELLS VALUES("underwater breathing",1,1,"casts a derwater breathing spell",0,"psionic");
INSERT INTO SPELLS VALUES("mace",1,1,"casts a ce spell",0,"psionic");
INSERT INTO SPELLS VALUES("cannibalize",1,2,"casts a nnibalize spell",0,"psionic");
INSERT INTO SPELLS VALUES("mind thrust",1,2,"casts a nd thrust spell",0,"psionic");
INSERT INTO SPELLS VALUES("meditation",2,2,"casts a ditation spell",0,"psionic");
INSERT INTO SPELLS VALUES("psychic drain",2,3,"casts a ychic drain spell",0,"psionic");
INSERT INTO SPELLS VALUES("enhanced strength",2,3,"casts a nhanced strength spell",0,"psionic");
INSERT INTO SPELLS VALUES("dagger",2,3,"casts a agger spell",0,"psionic");
INSERT INTO SPELLS VALUES("cell adjustment",2,3,"casts a ell adjustment spell",0,"psionic");
INSERT INTO SPELLS VALUES("flail",2,3,"casts a lail spell",0,"psionic");
INSERT INTO SPELLS VALUES("detect good",3,4,"casts a etect good spell",0,"psionic");
INSERT INTO SPELLS VALUES("ego whip",3,4,"casts a go whip spell",0,"psionic");
INSERT INTO SPELLS VALUES("scrolls",3,4,"casts a crolls spell",0,"psionic");
INSERT INTO SPELLS VALUES("adrenaline control",3,4,"casts a drenaline control spell",0,"psionic");
INSERT INTO SPELLS VALUES("detect evil",3,5,"casts a etect evil spell",0,"psionic");
INSERT INTO SPELLS VALUES("agitation",3,5,"casts a gitation spell",0,"psionic");
INSERT INTO SPELLS VALUES("protection good",4,5,"casts a rotection good spell",0,"psionic");
INSERT INTO SPELLS VALUES("word of recall",4,5,"casts a ord of recall spell",0,"psionic");
INSERT INTO SPELLS VALUES("share strength",4,5,"casts a hare strength spell",0,"psionic");
INSERT INTO SPELLS VALUES("thought shield",4,6,"casts a hought shield spell",0,"psionic");
INSERT INTO SPELLS VALUES("mind over body",4,6,"casts a ind over body spell",0,"psionic");
INSERT INTO SPELLS VALUES("awe",5,7,"casts a awe spell",0,"psionic");
INSERT INTO SPELLS VALUES("inflict pain",100,7,"casts a inflict pain spell",0,"psionic");
INSERT INTO SPELLS VALUES("levitation",20,7,"casts a levitation spell",0,"psionic");
INSERT INTO SPELLS VALUES("telekinesis",80,casts a telekinesis spell,"0",psionic,"");
INSERT INTO SPELLS VALUES("create sound",7,10,"casts a reate sound spell",1,"psionic");
INSERT INTO SPELLS VALUES("accelerate",7,10,"casts a ccelerate spell",1,"psionic");
INSERT INTO SPELLS VALUES("mind freeze",7,10,"casts a ind freeze spell",1,"psionic");
INSERT INTO SPELLS VALUES("displacement",8,10,"casts a isplacement spell",1,"psionic");
INSERT INTO SPELLS VALUES("domination",8,11,"casts a omination spell",1,"psionic");
INSERT INTO SPELLS VALUES("negation",9,13,"casts a egation spell",1,"psionic");
INSERT INTO SPELLS VALUES("nerve shock",,9,"13",casts a erve shock spell,"1");
INSERT INTO SPELLS VALUES("psychic crush",10,14,"casts a sychic crush spell",1,"psionic");
INSERT INTO SPELLS VALUES("intellect fortress",11,15,"casts a ntellect fortress spell",1,"psionic");
INSERT INTO SPELLS VALUES("cause decay",12,16,"casts a ause decay spell",1,"psionic");
INSERT INTO SPELLS VALUES("ectoplasmic form",12,16,"casts a ctoplasmic form spell",1,"psionic");
INSERT INTO SPELLS VALUES("biofeedback",12,17,"casts a iofeedback spell",1,"psionic");
INSERT INTO SPELLS VALUES("combat mind",13,17,"casts a ombat mind spell",1,"psionic");
INSERT INTO SPELLS VALUES("parry",13,18,"casts a arry spell",2,"psionic");
INSERT INTO SPELLS VALUES("acidic touch",13,18,"casts a cidic touch spell",2,"psionic");
INSERT INTO SPELLS VALUES("neural burn",15,20,"casts a eural burn spell",2,"psionic");
INSERT INTO SPELLS VALUES("fire",15,20,"casts a ire spell",2,"psionic");
INSERT INTO SPELLS VALUES("wrench",15,21,"casts a wrench spell",2,"psionic");
INSERT INTO SPELLS VALUES("project force",16,21,"casts a roject force spell",2,"psionic");
INSERT INTO SPELLS VALUES("true seeing",16,22,"casts a rue seeing spell",2,"psionic");
INSERT INTO SPELLS VALUES("enhance armor",17,22,"casts a nhance armor spell",2,"psionic");
INSERT INTO SPELLS VALUES("share wisdom",17,23,"casts a hare wisdom spell",2,"psionic");
INSERT INTO SPELLS VALUES("ultrablast",18,24,"casts a ltrablast spell",2,"psionic");
INSERT INTO SPELLS VALUES("psionic blast",,18,"24",casts a sionic blast spell,"2");
INSERT INTO SPELLS VALUES("nexus",18,25,"casts a exus spell",2,"psionic");
INSERT INTO SPELLS VALUES("raw flesh",20,27,"casts a aw flesh spell",3,"psionic");
INSERT INTO SPELLS VALUES("channel energy",20,27,"casts a hannel energy spell",3,"psionic");
INSERT INTO SPELLS VALUES("detonate",21,28,"casts a etonate spell",3,"psionic");
INSERT INTO SPELLS VALUES("trauma",23,31,"casts a rauma spell",3,"psionic");
INSERT INTO SPELLS VALUES("death field",24,33,"casts a death field spell",3,"psionic");
INSERT INTO SPELLS VALUES("willpower",25,33,"casts a willpower spell",3,"psionic");
INSERT INTO SPELLS VALUES("psychosis",27,36,"casts a psychosis spell",4,"psionic");
INSERT INTO SPELLS VALUES("energy ball",27,37,"casts a energy ball spell",4,"psionic");
INSERT INTO SPELLS VALUES("locate corpse",28,37,"casts a locate corpse spell",4,"psionic");
INSERT INTO SPELLS VALUES("acidproof",29,39,"casts a acidproof spell",4,"psionic");
INSERT INTO SPELLS VALUES("spasm",29,39,"casts a spasm spell",4,"psionic");
INSERT INTO SPELLS VALUES("energy shield",30,40,"casts a energy shield spell",4,"psionic");
INSERT INTO SPELLS VALUES("translocate",30,40,"casts a translocate spell",4,"psionic");
INSERT INTO SPELLS VALUES("nightmare touch",31,41,"casts a nightmare touch spell",4,"psionic");
INSERT INTO SPELLS VALUES("knock",31,42,"casts a knock spell",4,"psionic");
INSERT INTO SPELLS VALUES("disrupt",32,43,"casts a disrupt spell",4,"psionic");
INSERT INTO SPELLS VALUES("meld stone",32,43,"casts a meld stone spell",4,"psionic");
INSERT INTO SPELLS VALUES("warmth",33,44,"casts a warmth spell",4,"psionic");
INSERT INTO SPELLS VALUES("megablast",34,45,"casts a megablast spell",5,"psionic");
INSERT INTO SPELLS VALUES("solidify",34,45,"casts a solidify spell",5,"psionic");
INSERT INTO SPELLS VALUES("panic",34,46,"casts a panic spell",5,"psionic");
INSERT INTO SPELLS VALUES("resonate",36,48,"casts a resonate spell",5,"psionic");
INSERT INTO SPELLS VALUES("neural overload",37,50,"casts a neural overload spell",5,"psionic");
INSERT INTO SPELLS VALUES("scry",38,51,"casts a scry spell",5,"psionic");
INSERT INTO SPELLS VALUES("wayfind",39,52,"casts a wayfind spell",5,"psionic");
INSERT INTO SPELLS VALUES("party harmony",39,52,"casts a party harmony spell",5,"psionic");
INSERT INTO SPELLS VALUES("pyromania",41,54,"casts a pyromania spell",6,"psionic");
INSERT INTO SPELLS VALUES("disintegrate",41,55,"casts a disintegrate spell",6,"psionic");
INSERT INTO SPELLS VALUES("desolation",43,57,"casts a desolation spell",6,"psionic");
INSERT INTO SPELLS VALUES("party shield",43,57,"casts a party shield spell",6,"psionic");
INSERT INTO SPELLS VALUES("chaos portal",45,60,"casts a chaos portal spell",6,"psionic");
INSERT INTO SPELLS VALUES("sanctuary",50,67,"casts a sanctuary spell",7,"psionic");
INSERT INTO SPELLS VALUES("enhanced damage",50,67,"casts a enhanced damage spell",7,"psionic");
INSERT INTO SPELLS VALUES("second attack",50,67,"casts a second attack spell",7,"psionic");
INSERT INTO SPELLS VALUES("third attack",50,67,"casts a third attack spell",7,"psionic");
INSERT INTO SPELLS VALUES("dual wield",50,67,"casts a dual wield spell",7,"psionic");
INSERT INTO SPELLS VALUES("hunt",50,67,"casts a hunt spell",1,"psionic");

CREATE TABLE MONSTERS (name varchar(255) PRIMARY KEY,description varchar(255),stamina int,evil int,arrivemessage varchar(255),diemessage varchar(255),createmessage varchar(255),movemessage varchar(255),moveodds int,generateodds int,damagedealt int,experiencepoints int,monstermovedelay int);
INSERT INTO MONSTERS VALUES("ork","A ugly,smelly orc with dripping yellow fangs",100,50,"A orc  has appeared in the room","The ork shrieks as it dies","A orc has apppeared","The orc moves away",10,3,10,30,30);
INSERT INTO MONSTERS VALUES("goblin","A goblin with a cunning look on it's face and long fingers ready to squeeze your throat if you're not careful",20,75,"A goblin  has appeared in the room","The goblin shrieks and bursts into flames as it dies","An evil-looking goblin has appeared","The goblin moves off somewhere else,10,3,70,200,50);
INSERT INTO MONSTERS VALUES("ogre","A very large, very smelly ogre wearing only a loincloth has appeared.It it carrying a large club to crush your bones to make his bread",400,20,"A ogre stomps into the room","The ogre slumps down dead at your feet with a thud","A ogre has appeared","The ogre moves off somewhere else,10,3,70,200,50);
INSERT INTO MONSTERS VALUES("troll","A very large troll from under a bridge somewhere",1000,400,"A troll has entered the room","The ork shrieks as it dies and slumps to the floor","A large, ugly troll has appeared","The troll has stomped off somewhere else",10,3,80,200,50);
INSERT INTO MONSTERS VALUES("skeleton","A skeleton with a evil glint in it's eye (if it had eyes)",9999,8,"A skeleton has entered the room, brandishing a sword","The skeleton collapses into a pile of bones with a crash","A skeleton has appeared, brandishing a sword","The skeleton turns round and moves off",10,3,150,80,30);
INSERT INTO MONSTERS VALUES("zombie","A zombie.It's flesh is rotting and hanging off it's body, it's eyes are milky white and sightless and it's giing off a strong odour of decay",50,8,"A zombie has lurched into the room","The zombie falls apart in a rotting heap at your feet","A rotting zombie has appeared","The zombie moves off somewhere else dragging it's feet",10,3,100,70,30);
INSERT INTO MONSTERS VALUES("mummy","A mummy.It's wrapped in bandages",20,5,"A mummy has stumbled into the room","The mummy falls apart in a pile of bandages","A mummy has appeared","The mummy turns round, and has moved off",70,10,20,30,50);
INSERT INTO MONSTERS VALUES("demon","A demon.it's scaly with huge bat-like wings, huge teeth and a large spiked tail",20,900,"A demon has stomped into the room","The demon falls backwards and die:s with a scream","A demon has appeared","The demon moves off dragging it's clawed arms on the ground",10,3,40,60,30);
INSERT INTO MONSTERS VALUES("hellhound","A hellhound.A large black dog with huge teeth and claws.It's foaming at the mouth and looks rabid",20,100,"A hellhound has bounded into the room","The hellhound howls in pain and drops dead","The hellhound bounds off","A hellhound growls at you",20,30,60,80,20);
INSERT INTO MONSTERS VALUES("giant","A huge hairy giant.It's carrying a large club",120,1000,"A giant has crashed into the room","The giant falls to earth with a great crash","A giant has appeared","The giant stomps off",10,3,200,300,10);
INSERT INTO MONSTERS VALUES("centaur","A centaur.It's man with a horse's body.It's carrying a bow",20,4,"A centaur has galloped into the room","The centaur falls sideways and dies","A centaur gallops in","The centaur gallops off",3,3,70,20,10);
INSERT INTO MONSTERS VALUES("minotaur","A minotaur.It's a  man with a bull's head.It looks angry",20,300,"A minotaur  has charged into the room","The minotaur snorts and falls down dead.","A mionotaur has galloped in","The minotaur charges off",10,3,100,30,10);
INSERT INTO MONSTERS VALUES("vampire","A vampire.It vants to suck your blood.",20,300,"A vampire has walked in the room.","The Vampire explodes into a cloud of dust.","A vampire has crept in","The vampire slinks off",10,3,80,30,20);
	
CREATE TABLE WORLD (id int PRIMARY KEY,name varchar(255),owner varchar(255),attributes int, description varchar(255),north int,south int,east int,west int,northeast int,northwest int,southeast int,southwest int,up int,down int);
INSERT INTO WORLD VALUES(2,"Cursed wasteland #1","system",21,"A barren wasteland filled with death",3,7,3,1,0,5,0,0,0,0);
INSERT INTO WORLD VALUES(3,"Cursed wasteland","system",21,"A barren wasteland filled with death",0,7,0,2,0,5,0,0,0,0);
INSERT INTO WORLD VALUES(4,"Well of despair","system",21,"This is the well of despair,which causes madness to anyone who drinks from it.",0,8,0,3,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(5,"Cliff","system",21,"You have climbed onto a path high on the cliff.From up here, you can see a lake and a village below you.t.rk castle looming forbodingly across the sky.",1,13,0,0,0,10,0,0,0,0);
INSERT INTO WORLD VALUES(6,"Tower Gardens","system",21,"You are the gardens of a forbidden building.It's very overgrown with weeds.Next to the garden there is a large building made of black marble which looms ahead.",0,16,7,5,0,15,0,0,0,0);
INSERT INTO WORLD VALUES(7,"Forbidden building","system",21,"You are in front of a tall dark gothic building.It looms above you with",3,19,8,6,0,12,2,0,0,0,0);
INSERT INTO WORLD VALUES(8,"Troll lair","system",21,"You step into a shallow cave littered with gold jewels and other objects, bones are scattered around the floor.There is an awful smell.marble which looms ahead.",4,12,0,7,0,0,3,0,0,0,0);
INSERT INTO WORLD VALUES(9,"Pool of sorrow","system",21,"This desolate pool is filled with the tears of those who drowned while looking at their reflections too long.mple there is an altar with a many-armed statue on it.Blood is split over the altar.",5,13,10,0,0,14,0,0,0,0);
INSERT INTO WORLD VALUES(10,"Lake of acid","system",21,"You are in a deep lake.Water laps all around you.",6,14,11,9,0,15,5,0,0,0,0);
INSERT INTO WORLD VALUES(11,"By the river","system",21,"You are by a rushing river, it runs noisily down its steep banks.",7,15,12,10,0,22,6,0,0,0,0);
INSERT INTO WORLD VALUES(12,"Dark cave","system",21,"You are at the entrace of a very deep dark cave.You can feel drafts coming out.",8,16,3,5,0,0,25,0,0,0,0);
INSERT INTO WORLD VALUES(13,"Wasteland","system",21,"You are on a dirty path, surrounded by ferns and grass.There is a lake nearby",9,0,14,0,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(14,"The village","system",21,"A ruined village next to a lake.It is a ruined one street hamlet of modest buildings.There doesn't seem to be anyone near by.ltar with a many-armed statue on it.Blood is split over the altar.",10,0,15,13,0,0,9,0,0,0,0);
INSERT INTO WORLD VALUES(15,"Deep into the forest","system",21,"You walk deeper into the gloomy forest with trees and the undergrowth surrounding you.",11,0,16,15,0,0,10,0,0,0);
INSERT INTO WORLD VALUES(16,"Outside the robber's hideout","system",21,"Hidden among the trees and bushes, a hideout is here.",12,0,0,15,0,0,11,0,0,0,0);
INSERT INTO WORLD VALUES(17,"The hall of the throne","system",21,"You are in large dusty hall with arched windows on either side of you,there is the sound of rhythmic chanting all around you; at the far end of the temple there is an altar with a many-armed statue on it.Blood is split over the altar",9,20,0,0,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(18,"The trapdoor","system",21,"You are at a large open trapdoor behind the throne.Steps lead down into the darkness.",0,19,0,0,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(19,"The steps downward","system",21,"You are on steps leading downwards to the darkness.You feel a cold draft.",0,0,0,0,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(20,"The undercave","system",21,"You are inside a dark, large cave.You can feel drafts from openings along the cave.doesn't seem to be anyone near by.ltar with a many-armed statue on it.Blood is split over the altar.",7,27,8,7,0,12,14,0,0,0,0);
INSERT INTO WORLD VALUES(21,"The labyrinth","system",21,"You are in a maze of twisty little passages, all alike.",25,28,21,11,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(22,"Dead end","system",21,"It's a dead end",0,0,32,0,0,0,0,0,0,0);
INSERT INTO WORLD VALUES(23,"Dead end","system",21,"You are at a dead end, but you can feel drafts from passages from either side of you.doesn't seem to be anyone near by.ltar with a many-armed statue on it.Blood is split over the altar.",25,28,0,0,0,0,0,0,0,0);

CREATE TABLE WORLDOBJECTS (id int PRIMARY KEY,room int,name varchar(255),description varchar(255),owner varchar(255),staminapoints int,magicpoints int,attributes int,verb varchar(255),verbmessage varchar(255));

